net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector
0.0892291;0.0872247;0.0882342;0.135221;0.166211;0.130235;0.127238;0.214223;0.129217;0.125226;0.21021;0.12822;0.170221;0.0832243;0.165214;0.127227;0.244227;0.168221;0.128229;0.167219;0.251233;0.205225;0.208211;0.323234;0.206209;0.369224;0.410227;0.124207;0.449216;0.367219;0.363229;0.405231;0.288233;0.248204;0.409223;0.608205;0.410218;0.488214;0.445219;0.249218
0.0932291;0.131211;0.128231;0.232226;0.208226;0.212233;0.167226;0.254229;0.211235;0.207224;0.250219;0.208225;0.292229;0.243222;0.205229;0.207224;0.329236;0.288219;0.289217;0.207235;0.331227;0.326216;0.328212;0.484225;0.406222;0.410207;0.730222;0.404213;0.529227;0.407222;0.404223;0.445232;0.328216;0.368234;0.489217;0.728217;0.690227;0.528227;0.485231;0.649222
0.0952291;0.192212;0.168227;0.281219;0.248229;0.252229;0.207226;0.336212;0.292212;0.247227;0.330233;0.24823;0.337221;0.283214;0.245211;0.369211;0.369231;0.328212;0.40923;0.247226;0.372216;0.407223;0.36821;0.524223;0.486236;0.530227;0.770218;0.524226;0.650211;0.447218;0.605224;0.687227;0.608211;0.528217;0.729229;0.768217;0.730229;0.768232;0.525216;0.849229
0.0892291;0.0912117;0.208236;0.130224;0.294216;0.292207;0.247227;0.381214;0.374216;0.287221;0.376217;0.288231;0.377203;0.323214;0.285207;0.409222;0.409209;0.489219;0.449218;0.288234;0.572218;0.447209;0.448239;0.687231;0.526219;0.691207;0.812224;0.564216;0.69023;0.487237;0.72821;0.768217;0.768227;0.56823;0.769232;0.809221;0.770237;0.808222;0.606219;0.929213
0.0942291;0.133211;0.251222;0.173219;0.344227;0.334222;0.289218;0.0892317;0.416216;0.329227;0.418223;0.328234;0.417205;0.363216;0.446226;0.490219;0.450224;0.614229;0.571232;0.32821;0.614239;0.608207;0.488216;0.727211;0.686211;0.731215;0.897227;0.604229;0.730205;0.650229;0.768207;0.812217;0.808239;0.648226;0.850229;0.851226;0.810226;0.848207;0.646219;0.970229
0.0922291;0.198225;0.0852358;0.218231;0.0902113;0.384223;0.333229;0.169226;0.457223;0.369227;0.458219;0.368224;0.458227;0.404209;0.486227;0.531217;0.491239;0.654224;0.612226;0.408205;0.656222;0.648231;0.528222;0.76722;0.768229;0.812219;0.938233;0.645205;0.857209;0.691218;0.903227;0.856224;0.849227;0.771217;0.940227;0.892205;0.850231;0.968222;0.686234;1.01023
0.0922291;0.0902117;0.130231;0.264226;0.172216;0.443222;0.377224;0.292235;0.503229;0.410217;0.544207;0.409224;0.498228;0.611232;0.527222;0.572237;0.533227;0.694229;0.694219;0.448238;0.696229;0.690227;0.569219;0.808212;0.808234;0.853224;0.980229;0.72623;0.898225;0.731215;0.946221;0.896226;0.899221;0.81123;0.987217;0.933225;0.974217;1.08922;0.727206;1.09224
0.0892291;0.130211;0.213222;0.172231;0.212226;0.0862224;0.418219;0.374221;0.547226;0.451223;0.0892328;0.450227;0.539225;0.652227;0.567238;0.612218;0.573238;0.737233;0.734234;0.488226;0.739227;0.731209;0.609225;0.849231;0.848239;0.941229;1.02823;0.810219;0.984215;0.771217;0.28621;0.937205;0.942215;0.852237;1.02822;1.01322;1.01621;1.16922;0.808214;1.14224
0.0912291;0.199225;0.0902223;0.218224;0.253223;0.128217;0.460229;0.42521;0.604222;0.491219;0.169229;0.572222;0.580225;0.692221;0.607226;0.653223;0.653231;0.791231;0.776222;0.529223;0.781215;0.774232;0.651234;0.289223;0.93921;0.983229;1.0772;0.851219;1.02821;0.813229;0.446231;0.978232;0.995231;0.896217;1.06921;1.05521;1.05822;1.21422;0.889213;1.18222
0.0952291;0.0872247;0.133231;0.263231;0.294227;0.168223;0.500214;0.125213;0.126226;0.531213;0.209223;0.612223;0.62123;0.733217;0.730239;0.693205;0.701219;0.165224;0.820216;0.691236;0.822216;0.814229;0.775231;0.450216;0.250229;1.02322;0.287209;0.891214;1.12122;0.896217;0.526216;1.01922;0.170239;0.938218;1.11523;1.14421;1.10022;1.25621;0.969217;0.605214
0.0932291;0.136212;0.175236;0.0862235;0.339211;0.208207;0.125227;0.165223;0.207217;0.578205;0.249233;0.663216;0.702219;0.790218;0.791223;0.734219;0.741231;0.205222;0.860231;0.731221;0.862219;0.855209;0.816222;0.570237;0.290226;1.06422;0.327205;0.935229;0.125211;0.938205;0.646227;1.06123;0.410219;0.982234;1.15522;1.20822;0.289213;0.365234;1.05223;0.685239
0.0932291;0.187211;0.220227;0.127231;0.404219;0.252229;0.165238;0.246226;0.249213;0.618221;0.329216;0.705205;0.74321;0.128227;0.170229;0.774227;0.784223;0.286237;0.921221;0.772212;0.923207;0.897203;0.861216;0.650222;0.370217;0.243204;0.407223;0.982226;0.365216;0.982225;0.687217;1.10322;0.490211;0.366229;1.20222;0.64423;0.569224;0.445223;1.13322;0.765209
0.0932291;0.0922113;0.271234;0.209221;0.124229;0.292214;0.252218;0.286229;0.290235;0.662221;0.37221;0.754216;0.784232;0.290212;0.250227;0.814222;0.825214;0.366229;0.244229;0.813223;0.327231;0.942233;0.911224;0.690234;0.410231;0.283207;0.447223;1.02224;0.445217;1.02222;0.768226;1.14423;0.650229;0.446233;1.25521;0.726219;0.609216;0.526224;1.17823;0.806207
0.0852291;0.135212;0.133231;0.260226;0.211219;0.332232;0.293229;0.328214;0.371223;0.713221;0.452229;0.127236;0.830212;0.370223;0.290238;0.856233;0.129236;0.406232;0.284226;0.860235;0.367216;0.996219;0.961229;0.771223;0.45021;0.40323;0.527227;1.07122;0.485226;1.06223;0.852212;1.19122;0.693216;0.486226;0.210233;0.766229;0.729227;0.566214;1.22522;0.892233
0.0902291;0.178225;0.179222;0.300219;0.257226;0.372227;0.381209;0.370232;0.413221;0.123221;0.495231;0.20722;0.127221;0.410214;0.371231;0.904237;0.169223;0.448233;0.404209;0.901227;0.40721;0.208226;0.290221;0.81422;0.652219;0.523222;0.727231;1.11121;0.525232;1.11023;0.89321;0.169232;0.733234;0.526222;0.493229;0.807239;0.769233;0.766223;1.27222;0.972216
0.0922291;0.0862247;0.224236;0.0852186;0.300227;0.412235;0.12721;0.417221;0.453217;0.163221;0.578223;0.327216;0.208225;0.450214;0.453211;0.213237;0.331238;0.530225;0.52522;0.945229;0.530216;0.409219;0.330221;0.863223;0.693233;0.563213;0.767233;1.16323;0.565225;0.244212;0.936213;0.529231;0.775236;0.729224;0.614214;0.847214;0.809225;0.806231;1.31223;1.01323
0.0912291;0.127212;0.0882273;0.168231;0.0912289;0.453233;0.167229;0.457226;0.502216;0.203205;0.620219;0.407235;0.289219;0.490229;0.495222;0.295205;0.453214;0.657229;0.565231;0.986209;0.573211;0.449239;0.532212;0.949211;0.735209;0.603212;0.807217;1.21221;0.686227;0.324222;0.980222;0.649221;0.815225;0.814236;0.694225;0.887227;0.849229;0.847224;0.483218;1.05722
0.0892291;0.168211;0.129234;0.209224;0.131216;0.509222;0.208209;0.521212;0.555222;0.327226;0.664205;0.457234;0.329203;0.530218;0.537229;0.335225;0.493227;0.697214;0.606228;0.406229;0.659229;0.529223;0.652218;0.998226;0.775223;0.725207;0.847222;0.169216;0.766211;0.604215;1.03123;0.770222;0.857233;0.905204;0.774234;0.932225;0.975218;0.891221;0.723209;1.13823
0.0872291;0.0882247;0.170236;0.249231;0.173211;0.0852267;0.248229;0.169213;0.597229;0.367217;0.719219;0.505226;0.372231;0.571229;0.620226;0.375217;0.533227;0.739232;0.646218;0.448226;0.742221;0.609229;0.776216;0.324209;0.816239;0.767215;0.888229;0.209216;0.807231;0.644227;0.326214;0.810235;0.939215;0.964227;0.81421;1.01723;1.05823;0.977229;0.846231;1.1852
0.0852291;0.133212;0.213222;0.138231;0.253219;0.125214;0.288219;0.209228;0.0862127;0.408227;0.206224;0.558228;0.412212;0.613217;0.667221;0.457205;0.659231;0.372214;0.688232;0.531214;0.788238;0.693234;0.817219;0.365231;0.897219;0.808229;0.928222;0.409222;0.931212;0.724223;0.566231;0.851211;0.979237;0.487204;0.854229;1.05921;1.13822;1.02223;0.887231;0.204222
0.0892291;0.176211;0.260231;0.184231;0.293226;0.208207;0.328226;0.337235;0.166224;0.448224;0.247229;0.32722;0.458227;0.655216;0.731229;0.499223;0.701211;0.413216;0.731219;0.572236;0.248231;0.777231;0.859234;0.533226;0.938222;0.849229;0.968231;0.529224;0.974231;0.765216;0.687225;0.974231;1.02123;0.527226;0.974214;1.10023;1.18223;1.06222;0.928229;0.404219
0.0962291;0.0882247;0.0872273;0.225224;0.341223;0.288232;0.372226;0.377226;0.291212;0.498234;0.327229;0.368225;0.50021;0.696211;0.365216;0.539229;0.793231;0.453234;0.771207;0.612233;0.328219;0.829219;0.902219;0.573237;0.979229;0.889206;1.00922;0.609219;1.01722;0.808211;0.728214;1.01422;1.07123;0.847214;1.01522;0.446224;1.22222;1.10921;0.969224;0.444231
0.0872291;0.133212;0.129222;0.265226;0.386211;0.330222;0.456224;0.420221;0.420217;0.539219;0.369217;0.408226;0.541223;0.207218;0.405233;0.619211;0.834227;0.574219;0.825227;0.66721;0.409207;0.869203;0.94321;0.614216;1.03524;0.933229;1.09123;0.731222;1.05821;0.849226;0.770226;1.06323;0.568218;0.887238;1.05523;0.608203;1.26223;1.15422;1.01123;0.604214
0.0912291;0.178211;0.171231;0.313221;0.0852185;0.372235;0.499218;0.46521;0.468234;0.594223;0.451233;0.494217;0.584207;0.287229;0.617221;0.663222;0.170218;0.660209;0.872214;0.719209;0.449209;0.370221;0.987223;0.656223;0.16721;1.01723;1.13121;0.771214;1.10522;0.889219;0.810223;1.11122;0.609227;0.928229;1.09621;0.648218;1.30622;1.19822;1.05622;0.644229
0.0892291;0.0902117;0.211234;0.136224;0.166211;0.425229;0.131229;0.0872271;0.509229;0.128227;0.492205;0.534236;0.625211;0.407211;0.670216;0.712231;0.290214;0.702226;0.914234;0.762227;0.530211;0.41021;0.169219;0.696224;0.287219;0.246219;1.18722;0.81123;1.14521;0.930217;0.850227;1.15422;0.649228;0.968233;1.14422;0.728221;0.164205;0.37021;1.09723;0.804222
0.0922291;0.132225;0.251236;0.176219;0.212226;0.125229;0.171214;0.247235;0.0842227;0.168227;0.533223;0.575205;0.669232;0.447212;0.718221;0.752219;0.411227;0.207234;0.165232;0.814234;0.573229;0.574233;0.37021;0.737223;0.447229;0.447231;0.363222;0.893229;1.18921;0.970226;0.890237;1.19423;0.729227;1.05322;1.18723;0.809214;0.404237;0.530207;1.14022;0.925217
0.0882291;0.174211;0.0872358;0.220231;0.255211;0.165214;0.211226;0.287214;0.125216;0.333221;0.574216;0.624227;0.764205;0.567222;0.758223;0.815227;0.451219;0.247222;0.205221;0.366229;0.654229;0.615225;0.491229;0.790234;0.528205;0.487204;0.443232;0.938211;1.23122;1.05121;0.977226;0.486223;0.853214;1.10424;0.203214;0.851216;0.570224;0.610212;1.20422;0.966229
0.0872291;0.0922247;0.130227;0.265221;0.299227;0.246222;0.251238;0.328226;0.167224;0.373218;0.614229;0.677224;0.211222;0.607223;0.330239;0.163212;0.491224;0.369223;0.245229;0.406219;0.699238;0.657231;0.572216;0.830227;0.568223;0.649212;0.523226;0.986212;0.486231;1.09322;1.02422;0.567223;0.935224;1.14523;0.443229;0.93123;0.610239;0.691205;0.528233;1.00622
0.0922291;0.139211;0.170222;0.308226;0.348229;0.289217;0.34021;0.371228;0.332234;0.413205;0.65421;0.124205;0.292212;0.660216;0.37121;0.203227;0.531231;0.492239;0.366218;0.529216;0.741225;0.707229;0.612228;0.210211;0.60821;0.69223;0.563217;1.03924;0.526219;1.13723;0.448216;0.607233;0.975229;1.18823;0.483234;0.986224;0.651205;0.812225;0.608221;1.13324
0.0912291;0.184212;0.212231;0.0872235;0.0862185;0.334235;0.381229;0.41421;0.372221;0.453224;0.700229;0.204234;0.332207;0.742233;0.413207;0.283214;0.612224;0.576231;0.446227;0.569226;0.781238;0.749216;0.652236;0.454232;0.688226;0.733216;0.724229;1.08022;0.607213;1.18123;0.649229;0.648231;1.01522;0.327211;0.648229;1.03022;0.692224;0.853231;0.648211;1.17622
0.0952291;0.0892113;0.262234;0.128221;0.131211;0.394207;0.424227;0.461229;0.456216;0.493221;0.126216;0.244236;0.413232;0.126222;0.494221;0.363231;0.654239;0.621227;0.488229;0.609226;0.824216;0.795219;0.693216;0.494216;0.771233;0.813227;0.764205;1.13023;0.647225;1.22521;0.729223;0.689227;1.09621;0.567234;0.729227;0.44323;0.735235;0.933223;0.728231;1.21622
0.0932291;0.137212;0.0892358;0.169219;0.171227;0.448222;0.127209;0.505213;0.498212;0.534227;0.166207;0.324216;0.454219;0.206222;0.585238;0.403237;0.694227;0.661219;0.528232;0.649232;0.87921;0.247229;0.740233;0.654209;0.811236;0.853226;0.884219;0.363207;0.81123;0.327229;0.769225;0.769215;1.13621;0.607223;0.769215;0.644224;0.775229;0.973209;0.848222;1.25723
0.0942291;0.182225;0.131227;0.209231;0.251223;0.0892224;0.168224;0.169226;0.542229;0.578234;0.246229;0.368225;0.494209;0.246209;0.626229;0.443227;0.737231;0.163219;0.648209;0.689229;0.208239;0.287229;0.780221;0.694233;0.853232;0.893209;0.925231;0.523221;0.852234;0.408225;0.93421;0.809227;1.20221;0.690223;0.810219;0.764224;0.861224;1.01623;0.889219;1.30222
0.0942291;0.0852247;0.173231;0.249231;0.293211;0.171232;0.20921;0.21221;0.593235;0.125219;0.326217;0.409228;0.536231;0.406222;0.673226;0.524223;0.779209;0.203223;0.688231;0.732217;0.369229;0.407219;0.824234;0.777223;0.939221;0.945213;0.965225;0.726221;0.892221;0.649216;0.974227;0.850225;0.367225;0.771224;0.851222;0.804227;0.914211;1.05622;0.937222;0.605236
0.0962291;0.130212;0.222222;0.291226;0.333211;0.211235;0.289226;0.302227;0.166216;0.246233;0.41221;0.493226;0.57923;0.448223;0.715234;0.564218;0.823231;0.403223;0.770234;0.772223;0.409238;0.527232;0.870234;0.817212;0.98621;0.994219;1.00723;0.768229;0.932231;0.689235;1.02022;0.890221;0.407233;0.811221;0.892234;0.844218;0.956222;1.10023;0.980222;0.68521
0.0892291;0.172211;0.282234;0.337231;0.376226;0.251217;0.331229;0.343226;0.208212;0.287221;0.453233;0.533235;0.62123;0.570229;0.125216;0.646229;0.864209;0.444233;0.813229;0.405214;0.44923;0.608219;0.913211;0.861224;0.286211;1.05121;1.04922;0.808236;0.972222;0.730216;1.06222;0.930232;0.528226;0.851204;0.933224;0.886217;0.485233;1.14022;1.02121;0.725234
0.0972291;0.0902113;0.129222;0.131226;0.126229;0.292223;0.372229;0.387228;0.290223;0.327221;0.497229;0.57422;0.672223;0.610216;0.166226;0.688223;0.287222;0.484212;0.899234;0.445222;0.530231;0.648223;0.444219;0.904229;0.326229;0.406229;1.08922;0.891222;0.247231;0.81321;1.10723;0.970222;0.648233;0.892204;0.974214;0.966229;0.566219;1.18422;1.06822;0.766222
0.0902291;0.140225;0.171236;0.213231;0.168227;0.334233;0.412219;0.441214;0.371221;0.371227;0.537205;0.617231;0.207209;0.657227;0.246234;0.728224;0.327214;0.524216;0.940226;0.486229;0.610223;0.688218;0.485229;0.168212;0.48621;0.447222;1.13022;0.935214;0.327216;0.89523;1.16524;1.01022;0.688237;1.01622;1.06723;1.01022;0.606223;0.607225;0.526218;0.807233
0.0912291;0.189212;0.212231;0.259224;0.214219;0.375227;0.458218;0.489226;0.411217;0.411218;0.624223;0.659222;0.247228;0.698229;0.286207;0.772222;0.371228;0.565229;0.170216;0.527219;0.650229;0.728231;0.528223;0.368234;0.56622;0.487226;1.17222;0.975231;0.490205;0.936223;0.163229;1.05223;0.730227;1.06123;0.207225;1.05021;0.72622;0.687212;0.688222;0.847229
