net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector
0.263229;0.242223;0.166227;0.102229;0.339214;0.220221;0.237224;0.31621;0.0912358;0.271219;0.115234;0.222235;0.267228;0.148229;0.244221;0.282204;0.416239;0.268221;0.169203;0.136222;0.295212;0.170238;0.224231;0.338223;0.181216;0.233223;0.396223;0.404214;0.200229;0.165223;0.492222;0.250219;0.176222;0.150214;0.125237;0.348229;0.268231;0.527219;0.488239;0.21021
0.320236;0.288229;0.223216;0.15921;0.385219;0.263219;0.278219;0.364233;0.132218;0.312222;0.156204;0.345231;0.391239;0.188207;0.284219;0.366209;0.45821;0.432229;0.249218;0.257234;0.37522;0.210232;0.264214;0.378232;0.422218;0.313227;0.640211;0.444238;0.320222;0.285224;0.572233;0.731224;0.216221;0.190212;0.165237;0.428218;0.508209;0.689216;0.528224;0.250211
0.405224;0.33421;0.266223;0.203231;0.42621;0.303222;0.325205;0.40423;0.172233;0.352218;0.198231;0.386218;0.474219;0.229232;0.326216;0.446229;0.498217;0.472233;0.369217;0.298219;0.456211;0.331229;0.344235;0.418222;0.543221;0.35321;0.680227;0.646221;0.440209;0.365229;0.692216;0.771231;0.256216;0.230224;0.246229;0.628214;1.02922;0.809227;0.890238;0.811211
0.448227;0.383212;0.309222;0.245209;0.469209;0.343223;0.366234;0.444219;0.213237;0.434223;0.323224;0.427215;0.517218;0.430229;0.369223;0.486232;0.578235;0.554219;0.409219;0.418223;0.818228;0.371218;0.384233;0.618222;0.583236;0.513238;0.920212;0.967225;0.480211;0.485224;0.732217;0.811222;0.296236;0.553222;0.608227;0.708219;1.06922;0.889221;1.01023;0.851223
0.488225;0.478221;0.349221;0.287229;0.549224;0.384225;0.411233;0.486232;0.256209;0.474223;0.403229;0.549214;0.597224;0.553221;0.532223;0.526235;0.619231;0.635229;0.449218;0.499232;0.858225;0.532229;0.54923;0.658223;0.623218;0.635239;0.960218;1.04724;0.520225;0.569235;0.772224;1.01124;0.456216;0.753217;0.848221;0.748222;1.10924;1.01022;1.17023;1.05123
0.534211;0.537229;0.389224;0.328227;0.590219;0.426223;0.455229;0.568228;0.296234;0.554227;0.483229;0.714214;0.637217;0.67921;0.614222;0.566217;0.659233;0.755207;0.490236;0.660227;0.978232;0.693218;0.709227;0.739229;0.663214;0.876217;1.04023;1.16723;0.641207;0.689205;0.853229;1.05223;0.537222;0.993223;0.888222;0.869223;1.14922;1.17121;1.37022;1.29221
0.58621;0.578237;0.430231;0.383211;0.630211;0.467229;0.496218;0.611237;0.380229;0.596225;0.523204;0.754228;0.719229;0.719229;0.734233;0.606217;0.739231;0.920237;0.570204;0.701223;1.09923;0.733229;0.749231;0.81923;0.743223;0.956231;1.16122;1.20723;0.881219;0.929223;1.13422;1.13223;0.657227;1.15324;1.00823;0.909222;1.26923;1.25122;1.45122;1.33224
0.639217;0.625229;0.513221;0.426217;0.670223;0.508229;0.576234;0.694214;0.422227;0.756228;0.564205;0.83423;0.801214;0.842234;0.775228;0.646222;0.859203;0.960222;0.610223;1.02323;1.18122;0.814223;0.789239;0.899238;0.783225;1.03822;1.24123;1.40822;0.962216;1.21024;1.21523;1.21322;0.778229;1.23423;1.08822;1.14922;1.50922;1.37122;1.49122;1.41221
0.757211;0.691225;0.616231;0.467214;0.719227;0.550228;0.617222;0.734231;0.463212;0.797233;0.606223;0.875227;0.842219;0.968231;0.817229;0.686221;0.899235;1.20122;0.690216;1.06523;1.26323;1.05421;0.909212;1.01922;0.823237;1.07822;1.40221;1.44823;1.20223;1.37122;1.33522;1.2532;0.858219;1.51423;1.24823;1.26923;1.66922;1.49123;2.21223;1.61422
0.875205;0.774216;0.65723;0.549229;0.760209;0.590219;0.750224;0.775205;0.503237;0.840217;0.649205;0.915219;0.924221;1.05023;0.858216;0.810219;1.02121;1.32322;0.77223;1.10522;1.30322;1.09423;0.949222;1.05922;0.904222;1.23923;1.44222;1.64922;1.40222;1.49223;1.37522;1.29322;1.05823;1.91423;1.32822;1.59123;2.23522;1.53124;2.29223;1.73422
