time,net.AccessPoint.application.delay:vector
11.966721031183,1.08922
12.046731594435,1.16923
12.170713435127,1.29321
12.250730500105,1.37323
12.371711620827,1.49421
12.451724408231,1.57422
12.535721295035,1.65822
12.576724652607,1.69922
12.620718082539,1.74322
12.660737523469,1.78324
12.710732885089,1.83323
31.966711620827,1.08921
32.006725427049,1.12922
32.126736159475,1.24923
32.167724662327,1.29022
32.208711620827,1.33121
32.330730644943,1.45323
32.416724004147,1.53922
32.457727723209,1.58023
32.497717862857,1.62022
32.541730677673,1.66423
32.588723941519,1.71122
32.634706036855,1.7572
32.681731133949,1.80423
52.086732612165,1.20923
52.247718456691,1.37022
52.287722716055,1.41022
52.329725190755,1.45222
52.371716046213,1.49421
52.455730943907,1.57823
52.499725427049,1.62222
52.543724418057,1.66622
52.589714510617,1.71221
52.647726367623,1.77022
71.880719743605,1.00322
72.123730644943,1.24623
72.205731133949,1.32823
72.326726240665,1.44922
72.366720376113,1.48922
72.409739177899,1.53224
72.450718724515,1.57322
72.492710596727,1.61521
72.533726012301,1.65622
72.628728502347,1.75123
91.807719974205,0.930218
91.967728502347,1.09023
92.007720813383,1.13022
92.047727587837,1.17023
92.087727508001,1.21023
92.127736399641,1.25023
92.208711057171,1.33121
92.331734387991,1.45423
92.379718968781,1.50222
92.431719743605,1.55422
92.472713435127,1.59521
112.086718119999,1.20922
112.126733578143,1.24923
112.172730644943,1.29523
112.212730821627,1.33523
112.252731133949,1.37523
112.292716335449,1.41521
112.333716046213,1.45621
112.373726424089,1.49622
112.413730677673,1.53623
112.455724662327,1.57822
112.495718968781,1.61822
112.545715917077,1.66821
131.724706036855,0.847204
132.005722673527,1.12822
132.087718968781,1.21022
132.128718389899,1.25122
132.168719666077,1.29122
132.249726424089,1.37222
132.329734387991,1.45223
132.410713027571,1.53321
132.491727533921,1.61423
132.531733578143,1.65423
132.572720740227,1.69522
132.612736159475,1.73523
132.657722914271,1.78022
151.887737562343,1.01024
152.207732373177,1.33023
152.247729037967,1.37023
152.288727723209,1.41123
152.329721008069,1.45222
152.372711620827,1.49521
152.416726367623,1.53922
152.458728502347,1.58123
152.499730943907,1.62223
152.546736159475,1.66923
171.881714178933,1.00421
172.042737523469,1.16524
172.082736359461,1.20523
172.123724662327,1.24622
172.204724408231,1.32722
172.251734786311,1.37423
172.299734515641,1.42223
172.345726592717,1.46822
172.407713071939,1.53021
191.761726367623,0.884225
191.921730821627,1.04423
192.081711057171,1.20421
192.202737562343,1.32524
192.242732885089,1.36523
192.283725304473,1.40622
192.364723941519,1.48722
192.404721295035,1.52722
192.445734515641,1.56823
192.490711057171,1.61321
192.537720301233,1.66022
192.580727508001,1.70323
192.620710437817,1.74321
192.680726424089,1.80322
211.481706482459,0.604205
211.881726424089,1.00422
211.961721295035,1.08422
212.162727723209,1.28523
212.243730500105,1.36623
212.287724190979,1.41022
212.329718456691,1.45222
212.371731733985,1.49423
212.413715917077,1.53621
212.457721080211,1.58022
212.497736399641,1.62023
