Module Name /IEEE802154INET-Standalone/simulations/results/MAC-standard-0.sca_MAC-standard-0-20170723-04:12:25-6752 /IEEE802154INET-Standalone/simulations/results/MAC-standard-1.sca_MAC-standard-1-20170723-04:12:25-6755 /IEEE802154INET-Standalone/simulations/results/MAC-standard-2.sca_MAC-standard-2-20170723-04:12:25-6754 /IEEE802154INET-Standalone/simulations/results/MAC-standard-3.sca_MAC-standard-3-20170723-04:12:25-6753 /IEEE802154INET-Standalone/simulations/results/MAC-standard-4.sca_MAC-standard-4-20170723-04:12:29-6782 /IEEE802154INET-Standalone/simulations/results/MAC-standard-5.sca_MAC-standard-5-20170723-04:12:33-6787 /IEEE802154INET-Standalone/simulations/results/MAC-standard-6.sca_MAC-standard-6-20170723-04:12:40-6792 /IEEE802154INET-Standalone/simulations/results/MAC-standard-7.sca_MAC-standard-7-20170723-04:12:46-6798 /IEEE802154INET-Standalone/simulations/results/MAC-standard-8.sca_MAC-standard-8-20170723-04:13:00-6803 /IEEE802154INET-Standalone/simulations/results/MAC-standard-9.sca_MAC-standard-9-20170723-04:13:14-6809 /IEEE802154INET-Standalone/simulations/results/MAC-standard-10.sca_MAC-standard-10-20170723-04:13:31-6814 /IEEE802154INET-Standalone/simulations/results/MAC-standard-11.sca_MAC-standard-11-20170723-04:13:48-6819 /IEEE802154INET-Standalone/simulations/results/MAC-standard-12.sca_MAC-standard-12-20170723-04:14:14-6824 /IEEE802154INET-Standalone/simulations/results/MAC-standard-13.sca_MAC-standard-13-20170723-04:14:41-6829 /IEEE802154INET-Standalone/simulations/results/MAC-standard-14.sca_MAC-standard-14-20170723-04:15:12-6835 /IEEE802154INET-Standalone/simulations/results/MAC-standard-15.sca_MAC-standard-15-20170723-04:15:43-6841 /IEEE802154INET-Standalone/simulations/results/MAC-standard-16.sca_MAC-standard-16-20170723-04:16:24-6847 /IEEE802154INET-Standalone/simulations/results/MAC-standard-17.sca_MAC-standard-17-20170723-04:17:03-6855 /IEEE802154INET-Standalone/simulations/results/MAC-standard-18.sca_MAC-standard-18-20170723-04:17:52-6860 /IEEE802154INET-Standalone/simulations/results/MAC-standard-19.sca_MAC-standard-19-20170723-04:18:38-6865 /IEEE802154INET-Standalone/simulations/results/MAC-standard-20.sca_MAC-standard-20-20170723-04:19:38-6870 /IEEE802154INET-Standalone/simulations/results/MAC-standard-21.sca_MAC-standard-21-20170723-04:20:35-6877 /IEEE802154INET-Standalone/simulations/results/MAC-standard-22.sca_MAC-standard-22-20170723-04:21:43-6883 /IEEE802154INET-Standalone/simulations/results/MAC-standard-23.sca_MAC-standard-23-20170723-04:22:48-6897 /IEEE802154INET-Standalone/simulations/results/MAC-standard-24.sca_MAC-standard-24-20170723-04:24:07-6904 /IEEE802154INET-Standalone/simulations/results/MAC-standard-25.sca_MAC-standard-25-20170723-04:25:24-6909 /IEEE802154INET-Standalone/simulations/results/MAC-standard-26.sca_MAC-standard-26-20170723-04:26:52-6915 /IEEE802154INET-Standalone/simulations/results/MAC-standard-27.sca_MAC-standard-27-20170723-04:28:21-6923 /IEEE802154INET-Standalone/simulations/results/MAC-standard-28.sca_MAC-standard-28-20170723-04:30:04-6928 /IEEE802154INET-Standalone/simulations/results/MAC-standard-29.sca_MAC-standard-29-20170723-04:31:42-6933 /IEEE802154INET-Standalone/simulations/results/MAC-standard-30.sca_MAC-standard-30-20170723-04:33:35-6939 /IEEE802154INET-Standalone/simulations/results/MAC-standard-31.sca_MAC-standard-31-20170723-04:35:30-6946 /IEEE802154INET-Standalone/simulations/results/MAC-standard-32.sca_MAC-standard-32-20170723-04:37:35-6960 /IEEE802154INET-Standalone/simulations/results/MAC-standard-33.sca_MAC-standard-33-20170723-04:39:44-6965 /IEEE802154INET-Standalone/simulations/results/MAC-standard-34.sca_MAC-standard-34-20170723-04:41:58-6973 /IEEE802154INET-Standalone/simulations/results/MAC-standard-35.sca_MAC-standard-35-20170723-04:44:26-6978 /IEEE802154INET-Standalone/simulations/results/MAC-standard-36.sca_MAC-standard-36-20170723-04:46:57-6985 /IEEE802154INET-Standalone/simulations/results/MAC-standard-37.sca_MAC-standard-37-20170723-04:49:43-6991 /IEEE802154INET-Standalone/simulations/results/MAC-standard-38.sca_MAC-standard-38-20170723-04:52:24-7005 /IEEE802154INET-Standalone/simulations/results/MAC-standard-39.sca_MAC-standard-39-20170723-04:55:25-7016
net.Box[0].battery totalEnergy:max 5.14104 5.56758 5.87436 6.08923 6.31331 6.48258 6.60553 6.69981 6.83665 6.96342 7.05623 7.09015 7.14045 7.17676 7.30589 7.37154 7.42821 7.46744 7.53634 7.5324 7.575 7.66849 7.73254 7.70316 7.7907 7.77354 7.83955 7.8718 7.88186 7.96376 7.95295 7.96144 8.00158 8.06216 8.10996 8.09906 8.12035 8.17793 8.1625 8.2139
net.Box[1].battery totalEnergy:max 5.14105 5.56757 5.87435 6.0892 6.31333 6.48258 6.60556 6.69978 6.83665 6.96335 7.05631 7.09017 7.14044 7.17673 7.30583 7.37154 7.42818 7.46753 7.53621 7.53231 7.57498 7.66843 7.73255 7.70315 7.79061 7.77358 7.83963 7.87171 7.8819 7.96379 7.95294 7.96147 8.00171 8.06216 8.1099 8.0991 8.12033 8.17792 8.16254 8.21385
net.Box[2].battery totalEnergy:max 5.14104 5.56758 5.87435 6.08917 6.31331 6.48265 6.60553 6.69983 6.83663 6.96338 7.05618 7.09019 7.14043 7.17675 7.3058 7.37151 7.42807 7.46755 7.53622 7.53241 7.57502 7.6684 7.73252 7.70323 7.79048 7.77357 7.83964 7.87174 7.88193 7.96387 7.95286 7.96152 8.0017 8.06206 8.10994 8.09899 8.11789 8.17797 8.16259 8.21374
net.Box[3].battery totalEnergy:max 5.14105 5.56758 5.87435 6.08925 6.31329 6.4826 6.60552 6.69978 6.83667 6.9633 7.05626 7.09015 7.14042 7.17668 7.30584 7.37149 7.42805 7.46753 7.53624 7.53234 7.57495 7.66841 7.73262 7.70315 7.7905 7.77355 7.83953 7.8718 7.8819 7.96383 7.95297 7.96144 8.0018 8.06217 8.10991 8.09907 8.12025 8.17794 8.16253 8.21385
net.Box[4].battery totalEnergy:max 5.14105 5.56758 5.87437 6.0892 6.31328 6.4826 6.60553 6.6998 6.83672 6.9634 7.05615 7.09014 7.14046 7.1768 7.30591 7.37148 7.42819 7.46748 7.53621 7.53247 7.57496 7.6684 7.73264 7.70321 7.79048 7.7736 7.83947 7.8718 7.8819 7.96378 7.9531 7.96156 8.00164 8.06218 8.10997 8.09917 8.12032 8.17807 8.16261 8.21382
net.Box[5].battery totalEnergy:max 5.14105 5.56756 5.8743 6.08923 6.31333 6.48258 6.60547 6.69983 6.83667 6.96334 7.05623 7.09013 7.14047 7.17686 7.30585 7.37154 7.42808 7.46743 7.53621 7.53234 7.57505 7.6684 7.73265 7.70316 7.79056 7.77356 7.83966 7.87168 7.8819 7.96373 7.95298 7.96158 8.00184 8.06214 8.10998 8.09914 8.12025 8.178 8.16267 8.21397
net.Box[6].battery totalEnergy:max 5.14105 5.56755 5.87435 6.08918 6.31332 6.48254 6.60555 6.69983 6.83673 6.96331 7.05623 7.09015 7.14039 7.1768 7.30591 7.37152 7.42806 7.46749 7.5362 7.53246 7.57496 7.6685 7.73262 7.70331 7.7906 7.77364 7.83948 7.87178 7.88194 7.96386 7.95297 7.96156 8.00183 8.06205 8.10988 8.09902 8.12026 8.17803 8.16255 8.21391
net.Box[7].battery totalEnergy:max 5.14105 5.56757 5.87434 6.08921 6.31331 6.48257 6.60549 6.6998 6.83668 6.96335 7.05623 7.09016 7.14045 7.17678 7.30589 7.37141 7.42803 7.46747 7.53616 7.53239 7.57489 7.66839 7.73249 7.70322 7.79064 7.77366 7.83954 7.87173 7.88181 7.96379 7.95293 7.96146 8.00165 8.06201 8.10979 8.09905 8.12025 8.17795 8.16263 8.21377
net.Box[8].battery totalEnergy:max 5.14105 5.56756 5.87435 6.08922 6.3133 6.48258 6.60553 6.69978 6.83667 6.96334 7.05621 7.09021 7.14044 7.17679 7.30591 7.37141 7.4281 7.46752 7.53617 7.53245 7.57496 7.66843 7.73251 7.70329 7.79056 7.77366 7.83953 7.87184 7.88194 7.96374 7.9529 7.96151 8.00175 8.06218 8.10983 8.09916 8.12017 8.17798 8.16255 8.21391
net.Box[9].battery totalEnergy:max 5.14105 5.56755 5.87438 6.08917 6.31333 6.48259 6.6055 6.69985 6.83664 6.96333 7.05618 7.09017 7.14046 7.17672 7.30584 7.37151 7.42814 7.4675 7.53626 7.53234 7.57496 7.66843 7.73255 7.70313 7.79065 7.7736 7.83956 7.87185 7.8819 7.96382 7.95297 7.96143 8.00184 8.06214 8.11001 8.09916 8.12018 8.17808 8.16245 8.21387
